A,B,C,D,E,F,G,H,I,s
1,2,2,0,0,0,0,0,0,5
1,2,2,1,3,25,0,0,0,34
1,2,2,1,3,9,5,19,0,42
1,2,2,1,3,15,13,5,19,61
1,2,2,1,25,5,0,0,0,36
1,2,2,1,14,4,15,14,15,68
1,2,2,1,19,0,0,0,0,25
1,2,2,1,19,9,0,0,0,34
1,2,2,1,19,19,9,0,0,53
1,2,2,1,20,9,1,12,0,48
1,2,2,1,20,9,3,1,12,51
1,2,2,1,20,9,5,0,0,40
1,2,2,5,25,19,0,0,0,54
1,2,2,5,19,0,0,0,0,29
1,2,2,5,19,19,0,0,0,48
1,2,2,5,19,19,5,19,0,72
1,2,2,5,19,20,0,0,0,49
1,2,2,15,3,3,1,20,15,62
1,2,2,15,7,1,4,1,0,33
1,2,2,15,20,3,25,0,0,68
1,2,2,15,20,3,9,5,19,76
1,2,2,15,20,18,9,3,0,70
1,2,2,15,20,19,0,0,0,59
1,2,2,15,20,19,8,9,16,92
1,2,2,15,26,26,15,0,0,87
1,2,2,18,5,22,0,0,0,50
1,2,3,5,19,19,0,0,0,49
1,2,3,9,19,19,1,0,0,54
1,2,3,15,21,12,15,13,2,84
1,2,4,0,0,0,0,0,0,7
1,2,4,1,12,0,0,0,0,20
1,2,4,1,12,9,0,0,0,29
1,2,4,1,18,9,1,0,0,36
1,2,4,1,20,0,0,0,0,28
1,2,4,5,19,20,0,0,0,51
1,2,4,9,3,1,2,12,5,39
1,2,4,9,3,1,14,20,0,54
1,2,4,9,3,1,20,5,0,45
1,2,4,9,3,1,20,5,4,49
1,2,4,9,3,1,20,5,19,64
1,2,4,9,3,1,20,15,18,73
1,2,4,9,20,9,22,5,0,72
1,2,4,9,20,15,18,25,0,94
1,2,4,15,13,0,0,0,0,35
1,2,4,15,13,5,14,0,0,54
1,2,4,15,13,5,14,19,0,73
1,2,4,15,13,9,14,1,0,59
1,2,4,15,13,9,14,1,12,71
1,2,4,21,3,5,0,0,0,36
1,2,4,21,3,5,4,0,0,40
1,2,4,21,3,5,14,19,0,69
1,2,4,21,3,5,14,20,0,70
1,2,4,21,3,5,19,0,0,55
1,2,4,21,3,9,14,7,0,61
1,2,4,21,3,20,0,0,0,51
1,2,4,21,3,20,5,4,0,60
1,2,4,21,3,20,9,14,7,81
1,2,4,21,3,20,9,15,14,89
1,2,4,21,3,20,15,18,0,84
1,2,4,21,3,20,15,18,19,103
1,2,4,21,3,20,19,0,0,70
1,2,5,1,13,0,0,0,0,22
1,2,5,1,18,0,0,0,0,27
1,2,5,1,18,1,14,3,5,50
1,2,5,3,5,4,1,18,25,64
1,2,5,4,0,0,0,0,0,12
1,2,5,4,5,0,0,0,0,17
1,2,5,4,7,5,0,0,0,24
1,2,5,7,7,5,0,0,0,27
1,2,5,25,1,14,3,5,0,56
1,2,5,25,1,14,3,5,19,75
1,2,5,25,1,14,3,25,0,76
1,2,5,25,1,14,20,0,0,68
1,2,5,9,7,8,0,0,0,32
1,2,5,12,5,0,0,0,0,25
1,2,5,12,5,19,0,0,0,44
1,2,5,12,13,15,19,11,0,78
1,2,5,12,13,15,19,11,19,97
1,2,5,12,13,21,19,11,0,84
1,2,5,12,20,18,5,5,0,68
1,2,5,14,4,0,0,0,0,26
1,2,5,14,4,19,0,0,0,45
1,2,5,14,20,5,18,9,3,77
1,2,5,18,14,5,20,8,25,98
1,2,5,18,18,0,0,0,0,44
1,2,5,18,18,1,14,3,5,67
1,2,5,18,18,1,14,3,25,87
1,2,5,18,18,1,14,20,0,79
1,2,5,18,18,1,14,20,19,98
1,2,5,18,18,1,20,5,0,70
1,2,5,18,18,1,20,5,4,74
1,2,5,18,18,1,20,15,18,98
1,2,5,19,19,5,0,0,0,51
1,2,5,19,19,9,22,5,0,82
1,2,5,20,0,0,0,0,0,28
1,2,5,20,13,5,14,20,0,80
1,2,5,20,13,5,14,20,19,99
1,2,5,20,19,0,0,0,0,47
1,2,5,20,20,1,12,0,0,61
1,2,5,20,20,1,12,19,0,80
1,2,5,20,20,5,4,0,0,57
1,2,5,20,20,5,18,0,0,71
1,2,5,20,20,5,18,19,0,90
1,2,5,20,20,9,14,7,0,78
1,2,5,20,20,15,18,0,0,81
1,2,5,20,20,15,18,19,0,100
1,2,6,1,18,1,4,0,0,33
1,2,6,1,18,1,4,19,0,52
1,2,8,5,14,18,25,0,0,73
1,2,8,5,14,18,9,5,19,81
1,2,8,5,14,18,25,19,0,92
1,2,8,9,14,1,25,1,0,61
1,2,8,9,19,5,11,1,0,56
1,2,8,15,18,0,0,0,0,44
1,2,8,15,18,18,5,4,0,71
1,2,8,15,18,18,5,14,20,101
1,2,8,15,18,18,5,18,0,85
1,2,8,15,18,18,5,18,19,104
1,2,8,15,18,18,9,14,7,92
1,2,8,15,18,19,0,0,0,63
1,2,25,0,0,0,0,0,0,28
1,2,9,3,8,9,20,5,0,57
1,2,9,4,1,12,0,0,0,29
1,2,9,4,1,14,3,5,0,39
1,2,9,4,1,14,3,5,19,58
1,2,9,4,4,5,14,0,0,39
1,2,9,4,5,0,0,0,0,21
1,2,9,4,5,4,0,0,0,25
1,2,9,4,5,18,0,0,0,39
1,2,9,4,5,18,19,0,0,58
1,2,9,4,5,19,0,0,0,40
1,2,9,4,9,0,0,0,0,25
1,2,9,4,9,14,7,0,0,46
1,2,9,4,9,14,7,12,25,83
1,2,25,5,0,0,0,0,0,33
1,2,9,5,4,0,0,0,0,21
1,2,25,5,4,0,0,0,0,37
1,2,9,5,7,8,0,0,0,32
1,2,9,5,14,3,5,0,0,39
1,2,9,5,14,20,0,0,0,51
1,2,25,5,19,0,0,0,0,52
1,2,9,5,20,1,20,5,0,63
1,2,9,5,20,5,14,5,0,61
1,2,9,5,20,9,3,0,0,49
1,2,9,5,20,9,14,0,0,60
1,2,9,5,20,9,14,9,3,72
1,2,9,5,20,9,20,5,0,71
1,2,9,7,1,9,12,19,0,60
1,2,9,7,5,1,20,0,0,45
1,2,9,7,5,9,0,0,0,33
1,2,9,7,5,21,19,0,0,64
1,2,25,9,14,7,0,0,0,58
1,2,9,12,1,15,0,0,0,40
1,2,9,12,9,13,5,14,20,85
1,2,9,12,9,20,25,0,0,78
1,2,9,12,9,20,9,5,19,86
1,2,9,12,12,1,0,0,0,37
1,2,9,12,15,0,0,0,0,39
1,2,9,13,5,0,0,0,0,30
1,2,9,15,7,5,14,25,0,78
1,2,9,15,12,15,7,25,0,86
1,2,9,15,19,5,19,0,0,70
1,2,9,15,19,9,19,0,0,74
1,2,9,15,20,9,3,0,0,59
1,2,9,15,20,9,3,1,12,72
1,2,9,18,0,0,0,0,0,30
1,2,25,19,0,0,0,0,0,47
1,2,25,19,13,0,0,0,0,60
1,2,25,19,13,1,12,0,0,73
1,2,25,19,13,1,12,12,25,110
1,2,25,19,13,19,0,0,0,79
1,2,25,19,19,1,0,0,0,67
1,2,25,19,19,1,12,0,0,79
1,2,25,19,19,5,19,0,0,90
1,2,25,19,19,21,19,0,0,106
1,2,9,19,20,15,14,0,0,80
1,2,9,20,0,0,0,0,0,32
1,2,9,21,18,5,20,0,0,76
1,2,10,5,3,20,0,0,0,41
1,2,10,5,3,20,9,15,14,79
1,2,10,5,3,20,9,22,5,77
1,2,10,5,3,20,12,25,0,78
1,2,10,15,9,14,20,0,0,71
1,2,10,21,4,7,5,0,0,50
1,2,10,21,4,7,5,4,0,54
1,2,10,21,4,7,9,14,7,75
1,2,10,21,7,1,20,5,0,67
1,2,10,21,14,3,20,0,0,71
1,2,10,21,18,5,0,0,0,57
1,2,10,21,18,5,4,0,0,61
1,2,10,21,18,5,18,0,0,75
1,2,10,21,18,5,18,19,0,94
1,2,10,21,18,5,19,0,0,76
1,2,10,21,18,9,14,7,0,82
1,2,11,1,18,0,0,0,0,33
1,2,11,1,18,9,0,0,0,42
1,2,11,1,18,25,0,0,0,58
1,2,12,0,0,0,0,0,0,15
1,2,12,1,3,8,0,0,0,27
1,2,12,1,3,20,1,20,5,65
1,2,12,1,18,5,0,0,0,39
1,2,12,1,19,20,9,14,0,78
1,2,12,1,19,20,15,21,19,110
1,2,12,1,20,5,0,0,0,41
1,2,12,1,20,5,4,0,0,45
1,2,12,1,20,5,19,0,0,60
1,2,12,1,20,9,14,7,0,66
1,2,12,1,20,9,15,14,0,74
1,2,12,1,20,9,15,14,19,93
1,2,12,1,20,9,22,1,12,80
1,2,12,1,20,9,22,5,0,72
1,2,12,1,20,9,22,5,19,91
1,2,12,1,20,15,18,0,0,69
1,2,12,1,21,20,0,0,0,57
1,2,12,1,21,20,19,0,0,76
1,2,12,1,26,5,0,0,0,47
1,2,12,5,0,0,0,0,0,20
1,2,12,5,5,26,5,0,0,56
1,2,12,5,7,1,20,5,0,53
1,2,12,5,7,1,20,5,19,72
1,2,12,5,14,4,0,0,0,38
1,2,12,5,14,5,19,19,0,77
1,2,12,5,16,19,25,0,0,80
1,2,12,5,16,19,9,1,0,65
1,2,12,5,18,0,0,0,0,38
1,2,12,5,19,0,0,0,0,39
1,2,12,5,19,19,5,0,0,63
1,2,12,5,19,20,0,0,0,59
1,2,12,5,20,0,0,0,0,40
1,2,12,25,0,0,0,0,0,40
1,2,12,9,14,7,19,0,0,64
1,2,12,9,14,19,0,0,0,57
1,2,12,15,3,11,0,0,0,44
1,2,12,15,15,13,0,0,0,58
1,2,12,15,23,0,0,0,0,53
1,2,12,21,4,5,0,0,0,45
1,2,12,21,5,14,20,0,0,75
1,2,12,21,5,14,20,19,0,94
1,2,12,21,19,8,0,0,0,63
1,2,12,21,20,5,0,0,0,61
1,2,12,21,20,5,4,0,0,65
1,2,12,21,20,9,15,14,0,94
1,2,12,21,20,9,15,14,19,113
1,2,12,21,22,9,15,14,0,96
1,2,13,8,15,0,0,0,0,39
1,2,13,8,15,19,0,0,0,58
1,2,14,0,0,0,0,0,0,17
1,2,14,5,7,1,20,5,0,55
1,2,14,5,7,1,20,5,4,59
1,2,14,5,7,1,20,5,19,74
1,2,14,5,7,1,20,15,18,83
1,2,14,5,18,22,1,12,0,75
1,2,14,5,20,0,0,0,0,42
1,2,14,5,21,18,1,12,0,74
1,2,14,15,18,13,1,12,0,76
1,2,14,15,18,13,1,12,19,95
1,2,14,15,18,13,9,20,25,117
1,2,14,15,18,13,15,21,19,118
1,2,15,1,18,4,0,0,0,41
1,2,15,1,18,4,1,7,5,54
1,2,15,3,15,3,11,5,20,75
1,2,15,4,1,8,0,0,0,31
1,2,15,4,5,0,0,0,0,27
1,2,15,4,5,4,0,0,0,31
1,2,15,4,5,13,5,14,20,79
1,2,15,4,5,19,0,0,0,46
1,2,15,4,25,0,0,0,0,47
1,2,15,4,9,14,7,0,0,52
1,2,15,7,1,4,15,0,0,45
1,2,15,7,1,4,15,19,0,64
1,2,15,8,13,0,0,0,0,39
1,2,15,8,13,19,0,0,0,58
1,2,15,9,4,5,1,21,0,58
1,2,15,9,4,5,1,21,19,77
1,2,15,9,4,5,1,21,24,82
1,2,15,9,12,0,0,0,0,39
1,2,15,9,20,5,1,21,0,74
1,2,15,9,20,5,1,21,19,93
1,2,15,9,20,5,1,21,24,98
1,2,15,12,5,20,5,0,0,60
1,2,15,12,9,19,8,0,0,66
1,2,15,12,9,19,8,5,4,75
1,2,15,12,9,19,8,5,18,89
1,2,15,12,9,19,8,5,19,90
1,2,15,12,9,20,9,15,14,97
1,2,15,12,12,1,0,0,0,43
1,2,15,12,12,1,5,0,0,48
1,2,15,13,1,0,0,0,0,32
1,2,15,13,1,19,0,0,0,51
1,2,15,13,1,19,1,0,0,52
1,2,15,13,1,19,1,12,0,64
1,2,15,13,1,19,9,0,0,60
1,2,15,13,1,19,21,13,0,85
1,2,15,13,1,19,21,19,0,91
1,2,15,13,1,19,21,19,9,100
1,2,15,13,9,14,1,20,5,80
1,2,15,13,9,14,5,0,0,59
1,2,15,14,4,1,14,3,5,59
1,2,15,14,14,5,0,0,0,51
1,2,15,15,14,0,0,0,0,47
1,2,15,18,1,4,0,0,0,41
1,2,15,18,1,12,0,0,0,49
1,2,15,18,1,12,12,25,0,86
1,2,15,18,4,0,0,0,0,40
1,2,15,18,14,9,14,7,0,80
1,2,15,18,19,9,22,5,0,91
1,2,15,18,20,0,0,0,0,56
1,2,15,18,20,5,4,0,0,65
1,2,15,18,20,5,18,0,0,79
1,2,15,18,20,5,18,19,0,98
1,2,15,18,20,9,5,14,20,104
1,2,15,18,20,9,14,0,0,79
1,2,15,18,20,9,14,7,0,86
1,2,15,18,20,9,15,14,0,94
1,2,15,18,20,9,15,14,19,113
1,2,15,18,20,9,22,5,0,92
1,2,15,18,20,19,0,0,0,75
1,2,15,18,20,21,19,0,0,96
1,2,15,18,20,21,19,5,19,120
1,2,15,19,0,0,0,0,0,37
1,2,15,20,5,0,0,0,0,43
1,2,15,21,4,9,11,18,15,96
1,2,15,21,7,8,20,0,0,74
1,2,15,21,12,9,1,0,0,61
1,2,15,21,12,9,1,19,0,80
1,2,15,21,12,9,3,0,0,63
1,2,15,21,14,4,0,0,0,57
1,2,15,21,14,4,5,4,0,66
1,2,15,21,14,4,5,18,0,80
1,2,15,21,14,4,9,14,7,87
1,2,15,21,14,4,19,0,0,76
1,2,15,21,20,0,0,0,0,59
1,2,15,21,20,19,0,0,0,78
1,2,15,22,5,0,0,0,0,45
1,2,15,22,5,4,5,3,11,68
1,2,15,22,5,19,0,0,0,64
1,2,15,22,5,19,1,9,4,78
1,2,15,23,0,0,0,0,0,41
1,2,15,24,0,0,0,0,0,42
1,2,18,0,0,0,0,0,0,21
1,2,18,1,3,8,9,1,0,43
1,2,18,1,3,8,9,1,19,62
1,2,18,1,4,1,2,12,5,46
1,2,18,1,4,1,14,20,0,61
1,2,18,1,4,1,14,20,19,80
1,2,18,1,4,5,0,0,0,31
1,2,18,1,4,5,4,0,0,35
1,2,18,1,4,5,18,0,0,49
1,2,18,1,4,5,18,19,0,68
1,2,18,1,4,5,19,0,0,50
1,2,18,1,4,9,14,7,0,56
1,2,18,1,25,0,0,0,0,47
1,2,18,1,9,4,0,0,0,35
1,2,18,1,19,1,24,0,0,66
1,2,18,1,19,5,0,0,0,46
1,2,18,1,19,5,4,0,0,50
1,2,18,1,19,5,18,0,0,64
1,2,18,1,19,8,0,0,0,49
1,2,18,1,19,9,14,7,0,71
1,2,18,1,19,9,15,14,0,79
1,2,18,1,19,9,15,14,19,98
1,2,18,1,19,9,22,5,0,77
1,2,18,1,19,9,22,5,19,96
1,2,18,1,19,20,15,12,0,88
1,2,18,1,21,13,0,0,0,56
1,2,18,1,24,1,19,0,0,66
1,2,18,1,26,9,20,5,0,82
1,2,18,1,26,9,20,9,3,89
1,2,18,1,26,15,0,0,0,63
1,2,18,1,26,15,19,0,0,82
1,2,18,5,1,3,20,0,0,50
1,2,18,5,1,3,20,5,4,59
1,2,18,5,1,3,20,19,0,69
1,2,18,5,1,19,20,0,0,66
1,2,18,5,5,4,0,0,0,35
1,2,18,5,7,5,0,0,0,38
1,2,18,5,9,4,0,0,0,39
1,2,18,5,16,20,9,15,14,100
1,2,18,5,20,0,0,0,0,46
1,2,18,5,21,22,15,9,18,111
1,2,18,9,0,0,0,0,0,30
1,2,18,9,3,15,0,0,0,48
1,2,18,9,3,15,3,11,0,62
1,2,18,9,3,15,20,0,0,68
1,2,18,9,4,7,5,0,0,46
1,2,18,9,4,7,5,4,0,50
1,2,18,9,4,7,5,18,0,64
1,2,18,9,4,7,5,18,19,83
1,2,18,9,4,7,5,19,0,65
1,2,18,9,4,7,9,14,7,71
1,2,18,9,13,0,0,0,0,43
1,2,18,9,14,0,0,0,0,44
1,2,18,9,14,5,0,0,0,49
1,2,18,9,19,0,0,0,0,49
1,2,18,9,19,20,12,5,0,86
1,2,18,15,1,3,8,0,0,48
1,2,18,15,1,4,0,0,0,41
1,2,18,15,3,15,13,5,0,72
1,2,18,15,7,1,2,12,5,63
1,2,18,15,7,1,20,5,0,69
1,2,18,15,7,1,20,5,4,73
1,2,18,15,7,1,20,5,19,88
1,2,18,15,7,1,20,15,18,97
1,2,18,15,15,4,0,0,0,55
1,2,18,15,15,11,0,0,0,62
1,2,18,15,19,9,1,0,0,65
1,2,18,15,19,9,1,19,0,84
1,2,18,15,20,1,14,21,13,105
1,2,18,15,20,9,14,0,0,79
1,2,18,15,20,9,14,5,0,84
1,2,18,21,16,20,0,0,0,78
1,2,18,21,16,20,5,18,0,101
1,2,18,21,16,20,5,19,20,122
1,2,18,21,16,20,9,15,0,102
1,2,18,21,16,20,9,15,14,116
1,2,18,21,16,20,12,25,0,115
1,2,19,1,13,16,5,18,5,80
1,2,19,3,1,13,0,0,0,39
1,2,19,3,5,19,19,0,0,68
1,2,19,3,5,19,19,5,4,77
1,2,19,3,5,19,19,5,19,92
1,2,19,3,9,14,4,0,0,52
1,2,19,3,9,19,5,0,0,58
1,2,19,3,9,19,5,4,0,62
1,2,19,3,9,19,5,19,0,77
1,2,19,3,9,19,9,14,0,76
1,2,19,3,9,19,9,14,7,83
1,2,19,3,9,19,9,14,19,95
1,2,19,3,9,19,9,15,14,91
1,2,19,3,9,19,19,0,0,72
1,2,19,3,9,19,19,1,0,73
1,2,19,3,9,19,19,1,5,78
1,2,19,3,9,19,19,1,19,92
1,2,19,3,9,19,19,5,0,77
1,2,19,3,9,19,19,9,14,95
1,2,19,3,15,14,3,5,0,62
1,2,19,3,15,14,4,0,0,58
1,2,19,3,15,14,4,5,4,67
1,2,19,3,15,14,4,5,18,81
1,2,19,3,15,14,4,19,0,77
1,2,19,3,15,14,19,1,0,74
1,2,19,3,15,21,14,4,0,79
1,2,19,5,5,0,0,0,0,32
1,2,19,5,25,0,0,0,0,52
1,2,19,5,9,12,0,0,0,48
1,2,19,5,9,12,5,4,0,57
1,2,19,5,9,12,9,14,7,78
1,2,19,5,9,12,19,0,0,67
1,2,19,5,14,3,5,0,0,49
1,2,19,5,14,3,5,19,0,68
1,2,19,5,14,20,0,0,0,61
1,2,19,5,14,20,5,4,0,70
1,2,19,5,14,20,5,5,0,71
1,2,19,5,14,20,5,5,19,90
1,2,19,5,14,20,5,18,0,84
1,2,19,5,14,20,5,18,19,103
1,2,19,5,14,20,9,1,0,71
1,2,19,5,14,20,9,14,7,91
1,2,19,5,14,20,12,25,0,98
1,2,19,5,14,20,19,0,0,80
1,2,19,6,1,18,1,4,0,52
1,2,19,8,5,14,18,25,0,92
1,2,19,9,14,20,8,0,0,73
1,2,19,9,14,20,8,5,0,78
1,2,19,9,14,20,8,5,19,97
1,2,19,9,14,20,8,9,3,85
1,2,19,9,14,20,8,9,14,96
1,2,19,9,14,20,8,15,12,100
1,2,19,9,14,20,8,19,0,92
1,2,19,9,19,0,0,0,0,50
1,2,19,9,19,20,0,0,0,70
1,2,19,9,19,20,15,19,0,104
1,2,19,9,20,0,0,0,0,51
1,2,19,13,8,15,0,0,0,58
1,2,19,15,8,13,0,0,0,58
1,2,19,15,9,12,0,0,0,58
1,2,19,15,12,5,14,20,0,88
1,2,19,15,12,21,20,5,18,113
1,2,19,15,12,21,20,5,19,114
1,2,19,15,12,22,5,0,0,76
1,2,19,15,12,22,5,4,0,80
1,2,19,15,12,22,5,14,20,110
1,2,19,15,12,22,5,18,0,94
1,2,19,15,12,22,5,18,19,113
1,2,19,15,12,22,5,19,0,95
1,2,19,15,12,22,9,14,7,101
1,2,19,15,14,1,14,20,0,86
1,2,19,15,14,15,21,19,0,106
1,2,19,15,18,2,0,0,0,57
1,2,19,15,18,2,1,14,20,92
1,2,19,15,18,2,5,4,0,66
1,2,19,15,18,2,5,14,20,96
1,2,19,15,18,2,5,18,0,80
1,2,19,15,18,2,5,18,19,99
1,2,19,15,18,2,9,14,7,87
1,2,19,15,18,2,19,0,0,76
1,2,19,15,18,16,20,0,0,91
1,2,19,20,1,9,14,0,0,66
1,2,19,20,1,9,14,5,4,75
1,2,19,20,1,9,14,5,18,89
1,2,19,20,1,9,14,19,0,85
1,2,19,20,5,18,7,5,0,77
1,2,19,20,5,18,7,5,4,81
1,2,19,20,5,18,7,5,19,96
1,2,19,20,5,18,19,5,0,89
1,2,19,20,9,14,5,14,20,104
1,2,19,20,15,18,20,0,0,95
1,2,19,20,18,0,0,0,0,60
1,2,19,20,18,1,3,20,0,84
1,2,19,20,18,1,3,20,19,103
1,2,19,20,18,9,3,20,0,92
1,2,19,20,18,9,3,20,19,111
1,2,19,20,18,21,4,5,0,90
1,2,19,20,18,21,19,5,0,105
1,2,19,20,18,21,19,5,18,123
1,2,19,21,13,5,0,0,0,61
1,2,19,21,18,4,0,0,0,65
1,2,19,21,18,4,5,18,0,88
1,2,19,21,18,4,5,19,20,109
1,2,19,21,18,4,9,19,13,106
1,2,19,21,18,4,9,19,20,113
1,2,19,21,18,4,9,20,25,119
1,2,19,21,18,4,12,25,0,102
1,2,19,21,18,4,19,0,0,84
1,2,19,21,18,4,21,13,0,99
1,2,19,22,15,12,20,0,0,91
1,2,20,0,0,0,0,0,0,23
1,2,20,8,1,9,14,0,0,55
1,2,20,8,1,9,14,18,25,98
1,2,20,8,1,14,1,7,5,59
1,2,20,18,21,19,5,0,0,86
1,2,21,2,2,12,5,0,0,45
1,2,21,3,3,15,0,0,0,45
1,2,21,9,12,4,9,14,7,79
1,2,21,12,5,9,1,0,0,51
1,2,21,12,9,1,0,0,0,46
1,2,21,12,9,1,19,0,0,65
1,2,21,12,9,3,0,0,0,48
1,2,21,12,25,5,9,20,0,95
1,2,21,13,2,18,1,12,0,70
1,2,21,14,4,1,14,3,5,65
1,2,21,14,4,1,14,3,25,85
1,2,21,14,4,1,14,20,0,77
1,2,21,14,5,0,0,0,0,43
1,2,21,18,1,0,0,0,0,43
1,2,21,18,1,2,15,26,21,107
1,2,21,18,1,7,9,18,9,86
1,2,21,18,2,1,14,0,0,59
1,2,21,18,19,20,0,0,0,81
1,2,21,18,20,15,14,0,0,91
1,2,21,19,1,2,12,5,0,63
1,2,21,19,1,7,5,0,0,56
1,2,21,19,5,0,0,0,0,48
1,2,21,19,5,4,0,0,0,52
1,2,21,19,5,4,12,25,0,89
1,2,21,19,5,5,0,0,0,53
1,2,21,19,5,6,21,12,0,87
1,2,21,19,5,18,0,0,0,66
1,2,21,19,5,18,19,0,0,85
1,2,21,19,5,19,0,0,0,67
1,2,21,19,8,0,0,0,0,51
1,2,21,19,9,14,7,0,0,73
1,2,21,19,9,15,14,0,0,81
1,2,21,19,9,15,21,19,0,107
1,2,21,19,9,22,5,0,0,79
1,2,21,19,9,22,5,12,25,116
1,2,21,20,0,0,0,0,0,44
1,2,21,20,9,12,15,14,19,113
1,2,21,20,13,5,14,20,0,96
1,2,21,20,13,5,14,20,19,115
1,2,21,20,19,0,0,0,0,63
1,2,21,20,20,1,12,0,0,77
1,2,21,20,20,1,12,19,0,96
1,2,21,20,20,5,4,0,0,73
1,2,21,20,20,5,18,0,0,87
1,2,21,20,20,5,18,19,0,106
1,2,21,20,20,9,14,7,0,94
1,2,21,26,26,0,0,0,0,76
1,2,22,0,0,0,0,0,0,25
1,2,22,15,12,20,0,0,0,72
1,2,22,15,12,20,19,0,0,91
1,2,23,1,2,0,0,0,0,29
1,2,23,1,20,20,0,0,0,67
1,2,23,1,20,20,19,0,0,86
1,3,3,1,0,0,0,0,0,8
1,3,3,1,2,12,5,0,0,27
1,3,3,1,4,5,13,9,1,40
1,3,3,5,0,0,0,0,0,12
1,3,3,5,4,5,0,0,0,21
1,3,3,5,4,5,4,0,0,25
1,3,3,5,4,5,14,3,5,43
1,3,3,5,4,5,18,0,0,39
1,3,3,5,4,5,18,19,0,58
1,3,3,5,4,5,19,0,0,40
1,3,3,5,4,9,14,7,0,46
1,3,3,5,12,0,0,0,0,24
1,3,3,5,14,4,0,0,0,30
1,3,3,5,14,19,5,4,0,54
1,3,3,5,14,19,9,15,14,83
1,3,3,5,14,19,15,18,0,78
1,3,3,5,14,20,0,0,0,46
1,3,3,5,14,20,5,4,0,55
1,3,3,5,14,20,9,14,7,76
1,3,3,5,14,20,15,18,0,79
1,3,3,5,14,20,15,18,19,98
1,3,3,5,14,20,19,0,0,65
1,3,3,5,14,20,21,1,12,80
1,3,3,5,14,20,21,19,0,86
1,3,3,5,16,20,0,0,0,48
1,3,3,5,16,20,1,14,20,83
1,3,3,5,16,20,5,4,0,57
1,3,3,5,16,20,5,5,0,58
1,3,3,5,16,20,5,5,19,77
1,3,3,5,16,20,5,18,0,71
1,3,3,5,16,20,5,18,19,90
1,3,3,5,16,20,9,14,7,78
1,3,3,5,16,20,9,15,14,86
1,3,3,5,16,20,9,22,5,84
1,3,3,5,16,20,15,18,0,81
1,3,3,5,16,20,15,18,19,100
1,3,3,5,16,20,19,0,0,67
1,3,3,5,18,19,5,0,0,54
1,3,3,5,19,19,0,0,0,50
1,3,3,5,19,19,1,18,25,94
1,3,3,5,19,19,5,4,0,59
1,3,3,5,19,19,5,19,0,74
1,3,3,5,19,19,9,14,7,80
1,3,3,5,19,19,9,15,14,88
1,3,3,5,19,19,9,20,0,79
1,3,3,5,19,19,9,22,5,86
1,3,3,5,19,19,15,18,0,83
1,3,3,5,19,19,15,18,25,108
1,3,3,5,19,19,15,18,19,102
1,3,3,9,4,5,14,3,5,47
1,3,3,9,4,5,14,3,25,67
1,3,3,9,4,5,14,20,0,59
1,3,3,9,4,5,14,20,19,78
1,3,3,9,4,9,1,0,0,30
1,3,3,9,4,9,1,19,0,49
1,3,3,9,4,9,5,0,0,34
1,3,3,9,4,9,5,19,0,53
1,3,3,9,14,7,5,0,0,42
1,3,3,9,14,7,5,4,0,46
1,3,3,9,14,7,9,14,7,67
1,3,3,9,16,9,5,14,20,80
1,3,3,9,16,20,5,18,0,75
1,3,3,9,19,5,0,0,0,40
1,3,3,9,19,13,21,19,0,88
1,3,3,9,20,5,0,0,0,41
1,3,3,12,1,9,13,0,0,42
1,3,3,12,1,9,13,5,4,51
1,3,3,12,1,9,13,5,18,65
1,3,3,12,1,9,13,19,0,61
1,3,3,12,9,13,1,20,5,67
1,3,3,12,9,14,1,12,0,55
1,3,3,12,9,14,1,20,5,68
1,3,3,12,9,22,9,20,25,104
1,3,3,12,9,22,15,21,19,105
1,3,3,12,15,25,0,0,0,59
1,3,3,15,1,19,20,0,0,62
1,3,3,15,25,0,0,0,0,47
1,3,3,15,25,5,4,0,0,56
1,3,3,15,25,9,14,7,0,77
1,3,3,15,9,12,0,0,0,43
1,3,3,15,12,1,4,5,0,44
1,3,3,15,12,1,4,5,4,48
1,3,3,15,12,1,4,5,19,63
1,3,3,15,12,1,20,5,4,64
1,3,3,15,12,5,14,20,0,73
1,3,3,15,12,12,0,0,0,46
1,3,3,15,12,12,5,0,0,51
1,3,3,15,12,12,5,4,0,55
1,3,3,15,12,12,5,5,0,56
1,3,3,15,13,16,1,14,25,91
1,3,3,15,13,16,12,9,0,72
1,3,3,15,13,16,12,9,19,91
1,3,3,15,13,16,20,0,0,71
1,3,3,15,18,4,0,0,0,44
1,3,3,15,18,4,1,14,20,79
1,3,3,15,18,4,5,4,0,53
1,3,3,15,18,4,5,18,0,67
1,3,3,15,18,4,5,18,19,86
1,3,3,15,18,4,9,14,7,74
1,3,3,15,18,4,9,15,14,82
1,3,3,15,18,4,19,0,0,63
1,3,3,15,19,20,0,0,0,61
1,3,3,15,19,20,5,4,0,70
1,3,3,15,19,20,9,14,7,91
1,3,3,15,19,20,19,0,0,80
1,3,3,15,21,3,8,5,0,59
1,3,3,15,21,14,19,5,12,93
1,3,3,15,21,14,20,0,0,77
1,3,3,15,21,14,20,5,4,86
1,3,3,15,21,14,20,5,18,100
1,3,3,15,21,14,20,19,0,96
1,3,3,15,21,16,12,5,0,76
1,3,3,15,21,18,1,7,5,74
1,3,3,15,21,18,20,0,0,81
1,3,3,15,21,20,5,18,0,86
